Date,Name
"Sunday, January 1, 2023","New Year's Day"
"Monday, January 2, 2023", "New Year Holiday"
"Monday, January 16, 2023","Dr. Martin Luther King Jr.'s Birthday"
"Monday, February 13, 2023","Presidents’ Day"
"Monday, February 20, 2023","Washington's Birthday"
"Friday, March 31, 2023","Cesar Chavez Day"
"Monday, May 29, 2023","Memorial Day"
"Tuesday, July 4, 2023","Independence Day"
"Monday, September 4, 2023","Labor Day"
"Friday, November 10, 2023","Veterans Day Holiday"
"Saturday, November 11, 2023","Veterans Day"
"Thursday, November 23, 2023","Thanksgiving Day"
"Friday, November 24, 2023","Day after Thanksgiving"
"Monday, December 25, 2023","Christmas Day"
"Monday, January 1, 2024","New Year's Day"
"Monday, January 15, 2024","Dr. Martin Luther King Jr.'s Birthday"
"Monday, February 19, 2024","Presidents’ Day"
"Monday, April 1, 2024","Cesar Chavez Day"
"Monday, May 27, 2024","Memorial Day"
"Thursday, July 4, 2024","Independence Day"
"Monday, September 2, 2024","Labor Day"
"Monday, November 11, 2024","Veterans Day"
"Thursday, November 28, 2024","Thanksgiving Day"
"Friday, November 29, 2024","Day after Thanksgiving"
"Wednesday, December 25, 2024","Christmas Day"
