CNN,streetname,from_st,to_st,cardinal,addrange,limits,location,theOrder,LF_FADD,RT_FADD,LF_TADD,RT_TADD,FROM_CNN,TO_CNN
8423000,LOCUST ST,WASHINGTON ST,CLAY ST,,200 - 299,WASHINGTON ST to CLAY ST (200 - 299),,21313,200,201,298,299,26941000,26940000
6406000,GRANT AVE,NOBLES ALY,FILBERT ST,,1519 - 1599,NOBLES ALY to FILBERT ST (1519 - 1599),,15592,1519,1522,1599,1598,30760000,25349000
19446000,LINCOLN BLVD,UNNAMED 077,HOFFMAN ST,,964 - 967,UNNAMED 077 to HOFFMAN ST (964 - 967),,21018,964,965,966,967,51185000,51331000
6039201,GEARY BLVD,GOUGH ST \ PETER YORKE WAY \ STARR KING WAY,LAGUNA ST,NORTH,1300 - 1498,GOUGH ST \ PETER YORKE WAY \ STARR KING WAY to LAGUNA ST (1300 - 1498) -- NORTH --,,14599,0,1300,0,1498,26494000,26514000
51158000,RAMSELL ST,START: 100-121 BLOCK,,,,START: 100-121 BLOCK intersection,,27906,,,,,,
4772000,DIAMOND ST,KERN ST,BOSWORTH ST,,2843 - 2899,KERN ST to BOSWORTH ST (2843 - 2899),,11392,2843,2844,2899,2898,21939000,21940000
25226000,VAN NESS AVE,PINE ST,,,,PINE ST intersection,,33479,,,,,,
25313000,VALLEJO ST,WHITE ST,,,,WHITE ST intersection,,33319,,,,,,
52272000,I-280 NORTHBOUND,I-280 N ON RAMP \ I-280 TO HWY 101 RAMP,,,,I-280 N ON RAMP \ I-280 TO HWY 101 RAMP intersection,,17732,,,,,,
13730000,WOOLSEY ST,BOWDOIN ST,DARTMOUTH ST,,800 - 899,BOWDOIN ST to DARTMOUTH ST (800 - 899),,34932,801,800,899,898,20868000,20875000
22923000,TERRACE DR,PORTOLA DR,,,,PORTOLA DR intersection,,31968,,,,,,
8962000,MENDELL ST,KIRKWOOD AVE,LA SALLE AVE,,1000 - 1099,KIRKWOOD AVE to LA SALLE AVE (1000 - 1099),,22936,1001,1000,1099,1098,20222000,20211000
21871000,FAIRMOUNT ST,WHITNEY ST,,,,WHITNEY ST intersection,,12947,,,,,,
27563000,PALM AVE,CALIFORNIA ST,,,,CALIFORNIA ST intersection,,26097,,,,,,
11734000,SEA VIEW TER,30TH AVE,31ST AVE,,1 - 58,30TH AVE to 31ST AVE (1 - 58),,29940,2,1,58,53,28025000,28028000
6014000,GARFIELD ST,MONTICELLO ST,BEVERLY ST,,900 - 999,MONTICELLO ST to BEVERLY ST (900 - 999),,14495,901,900,999,998,22727000,22728000
9334000,MORAGA ST,AUTO DR,09TH AVE,,225 - 299,AUTO DR to 09TH AVE (225 - 299),,23960,225,226,299,298,32839000,27106000
10368000,PERSIA AVE,EDINBURGH ST,NAPLES ST,,500 - 599,EDINBURGH ST to NAPLES ST (500 - 599),,26585,501,500,599,598,21715000,21645000
27153000,LINCOLN WAY,08TH AVE,,,,08TH AVE intersection,,21099,,,,,,
54149000,KORET WAY,END,,,,END intersection,,19923,,,,,,
20089000,LILLIAN ST,BEATRICE LN,,,,BEATRICE LN intersection,,20970,,,,,,
23734000,WISCONSIN ST,20TH ST,,,,20TH ST intersection,,34840,,,,,,
21287000,MONTEZUMA ST,COSO AVE \ LUNDYS LN,,,,COSO AVE \ LUNDYS LN intersection,,23849,,,,,,
50746000,ISLAIS ST,START: 0-0 BLOCK,,,,START: 0-0 BLOCK intersection,,18406,,,,,,
22854000,VASQUEZ AVE,GARCIA AVE \ HERNANDEZ AVE,,,,GARCIA AVE \ HERNANDEZ AVE intersection,,33565,,,,,,
7688000,JUDSON AVE,EDNA ST,FOERSTER ST,,200 - 299,EDNA ST to FOERSTER ST (200 - 299),,19243,201,200,299,298,22158000,22225000
20565000,SALINAS AVE,JAMESTOWN AVE,,,,JAMESTOWN AVE intersection,,28971,,,,,,
26708000,NORTH POINT ST,VAN NESS AVE,,,,VAN NESS AVE intersection,,24875,,,,,,
11450000,SAN JOSE AVE,PAULDING ST,SAN JUAN AVE,,1868 - 1899,PAULDING ST to SAN JUAN AVE (1868 - 1899),,29318,1877,1868,1899,1888,22118000,22117000
23777000,VERMONT ST,MARIPOSA ST,,,,MARIPOSA ST intersection,,33638,,,,,,
26844000,MASONIC AVE,PINE ST \ PRESIDIO AVE,,,,PINE ST \ PRESIDIO AVE intersection,,22618,,,,,,
30043000,LEAVENWORTH ST,GLOVER ST,,,,GLOVER ST intersection,,20773,,,,,,
21697000,TRUMBULL ST,CRAUT ST,,,,CRAUT ST intersection,,32465,,,,,,
20559000,GIRARD ST,WARD ST,,,,WARD ST intersection,,15107,,,,,,
10808000,QUESADA AVE,ARELIOUS WALKER DR,GRIFFITH ST,,1000 - 1099,ARELIOUS WALKER DR to GRIFFITH ST (1000 - 1099),,27682,1001,1000,1099,1098,33140000,20075000
12975000,MARINA BLVD,MARINA BLVD,LYON ST \ MASON ST \ YACHT RD,,0 - 0,MARINA BLVD to LYON ST \ MASON ST \ YACHT RD (0 - 0),,22111,0,0,0,0,33547000,27027000
21602000,MINERVA ST,SUMMIT ST,,,,SUMMIT ST intersection,,23147,,,,,,
23452000,WAWONA ST,45TH AVE,,,,45TH AVE intersection,,34329,,,,,,
21097000,PERALTA AVE,POWHATTAN AVE,,,,POWHATTAN AVE intersection,,26531,,,,,,
23141000,SLOAT BLVD,JUNIPERO SERRA BLVD \ PORTOLA DR \ SAINT FRANCIS BLVD \ WEST PORTAL AVE,,,,JUNIPERO SERRA BLVD \ PORTOLA DR \ SAINT FRANCIS BLVD \ WEST PORTAL AVE intersection,,30544,,,,,,
24514000,FOLSOM ST,HAWTHORNE ST,,,,HAWTHORNE ST intersection,,13559,,,,,,
19337000,I-280 S ON RAMP,I-280 S ON RAMP,I-280 SOUTHBOUND,,0 - 0,I-280 S ON RAMP to I-280 SOUTHBOUND (0 - 0),,17807,0,0,0,0,52265000,52144000
12579201,THOMAS MELLON DR,THOMAS MELLON DR,THOMAS MELLON DR,EAST,50 - 66,THOMAS MELLON DR to THOMAS MELLON DR (50 - 66) -- EAST --,,32113,0,50,0,66,33233000,33232000
13713201,WOODSIDE AVE,VASQUEZ AVE,BALCETA AVE,SOUTH,100 - 148,VASQUEZ AVE to BALCETA AVE (100 - 148) -- SOUTH --,,34889,0,100,0,148,22862000,22855000
22435000,TWIN PEAKS BLVD,PORTOLA DR,,,,PORTOLA DR intersection,,32628,,,,,,
25802000,NOE ST,FORD ST,,,,FORD ST intersection,,24665,,,,,,
51231000,MASON ST,MARSHALL ST,,,,MARSHALL ST intersection,,22605,,,,,,
21232000,MURRAY ST,RICHLAND AVE,,,,RICHLAND AVE intersection,,24264,,,,,,
24295000,STEVENSON ST,06TH ST,,,,06TH ST intersection,,31097,,,,,,
10096000,PACHECO ST,20TH AVE,21ST AVE,,1600 - 1699,20TH AVE to 21ST AVE (1600 - 1699),,25892,1601,1600,1699,1698,23207000,23212000
8670101,MANSELL ST,HAMILTON ST,BOWDOIN ST,SOUTH,601 - 699,HAMILTON ST to BOWDOIN ST (601 - 699) -- SOUTH --,,21983,601,0,699,0,20847000,20846000
22614000,GARFIELD ST,BRIGHT ST,,,,BRIGHT ST intersection,,14478,,,,,,
11069000,RIVERA ST,36TH AVE,SUNSET BLVD,,2600 - 2649,36TH AVE to SUNSET BLVD (2600 - 2649),,28342,2601,2600,2649,2648,23410000,23411000
20568000,PAUL AVE,CRANE ST,,,,CRANE ST intersection,,26400,,,,,,
12253000,SUNGLOW LN,GLADSTONE DR,OXFORD ST \ SILVER AVE,,1 - 99,GLADSTONE DR to OXFORD ST \ SILVER AVE (1 - 99),,31328,1,2,99,98,21004000,21000000
25222000,POLK ST,PINE ST,,,,PINE ST intersection,,27029,,,,,,
13210000,VERMONT ST,15TH ST,16TH ST,,200 - 299,15TH ST to 16TH ST (200 - 299),,33633,201,200,299,298,23863000,23779000
10977000,REVERE AVE,KEITH ST,LANE ST,,1500 - 1599,KEITH ST to LANE ST (1500 - 1599),,28108,1501,1500,1599,1598,20159000,20499000
22707000,URBANO DR,DE SOTO ST,,,,DE SOTO ST intersection,,33155,,,,,,
20628000,MERCURY ST,THORNTON AVE,,,,THORNTON AVE intersection,,23006,,,,,,
25982000,NOE ST,14TH ST,,,,14TH ST intersection,,24653,,,,,,
9804000,OCEAN AVE,MISSION ST,PERSIA AVE,,1 - 48,MISSION ST to PERSIA AVE (1 - 48),,25057,1,2,31,48,21743000,21748000
12035000,SOUTHERN HEIGHTS AVE,CAROLINA ST,DE HARO ST,,1 - 99,CAROLINA ST to DE HARO ST (1 - 99),,30787,1,2,99,98,23737000,23739000
50154000,SCHOOL ALY,END: 1-99 BLOCK,,,,END: 1-99 BLOCK intersection,,29818,,,,,,
50949000,YALE ST,START: 400-499 BLOCK,,,,START: 400-499 BLOCK intersection,,34982,,,,,,
5722101,FONT BLVD,HOLLOWAY AVE \ TAPIA DR,ARBALLO DR \ TAPIA DR,WEST,601 - 699,HOLLOWAY AVE \ TAPIA DR to ARBALLO DR \ TAPIA DR (601 - 699) -- WEST --,,13693,601,0,699,0,33484000,33485000
25009000,JOICE ST,CLAY ST,,,,CLAY ST intersection,,18968,,,,,,
12979000,I-280 N OFF RAMP,CESAR CHAVEZ ST \ PENNSYLVANIA AVE,I-280 NORTHBOUND,,0 - 0,CESAR CHAVEZ ST \ PENNSYLVANIA AVE to I-280 NORTHBOUND (0 - 0),,17678,0,0,0,0,23611000,54077000
9474000,NAGLEE AVE,MISSION ST,ELLINGTON AVE,,1 - 99,MISSION ST to ELLINGTON AVE (1 - 99),,24309,1,2,99,98,33366000,21503000
20291000,HESTER AVE,BAY SHORE BLVD,,,,BAY SHORE BLVD intersection,,16818,,,,,,
32948000,FARVIEW CT,FREDELA LN,,,,FREDELA LN intersection,,13013,,,,,,
9168000,MISSION ST,PERSIA AVE,RUTH ST,,0 - 0,PERSIA AVE to RUTH ST (0 - 0),,23528,0,0,0,0,21744000,21746000
6086201,GEARY BLVD,29TH AVE,30TH AVE,NORTH,6500 - 6598,29TH AVE to 30TH AVE (6500 - 6598) -- NORTH --,,14765,0,6500,0,6598,27839000,27840000
12926000,UNNAMED 040,START: 0-0 BLOCK,UNNAMED #040,,0 - 0,START: 0-0 BLOCK to UNNAMED #040 (0 - 0),,32920,0,0,0,0,51639000,51640000
9739000,OFARRELL ST,PIERCE ST,SCOTT ST,,1900 - 1999,PIERCE ST to SCOTT ST (1900 - 1999),,25381,1901,1900,1999,1998,26613000,26619000
22987000,TARAVAL ST,FUNSTON AVE,,,,FUNSTON AVE intersection,,31675,,,,,,
22730000,HOLLOWAY AVE,BORICA ST,,,,BORICA ST intersection,,17035,,,,,,
13372000,WALLER ST,CENTRAL AVE,MASONIC AVE,,1200 - 1299,CENTRAL AVE to MASONIC AVE (1200 - 1299),,34026,1201,1200,1299,1298,26339000,26341000
